Track Name,Artist,Track URI,danceability,energy,valence,acousticness,tempo,speechiness,liveness
It Makes Me Ill,*NSYNC,spotify:track:0gbysjaH16DW29QpUnowcx,0.81,0.858,0.646,0.00993,104.504,0.0873,0.0528
God Must Have Spent a Little More Time on You (feat. *NSYNC),Alabama,spotify:track:4R3BvvUm5fe8SCPs6287dY,0.608,0.507,0.265,0.114,84.924,0.0243,0.103
Sleep Waves,Ocean Sounds,spotify:track:3vlw2MSd6ZxFM6ylEDx6c6,0.151,0.852,1e-05,0.884,133.754,0.0506,0.979
*** TRIVIAL,Kai Angel,spotify:track:1FScXoUim4LEt0XbyepGqX,0.354,0.745,0.366,0.128,74.689,0.228,0.187
No Strings Attached,*NSYNC,spotify:track:6wOlzyu9hqu4Tjk0kPNv6e,0.666,0.966,0.63,0.000691,111.044,0.0581,0.36
Sleep Sounds Nature Ocean Waves,Ocean Sounds,spotify:track:3h0r8zfXEDicYEVMVNwZSH,0.134,0.932,1e-05,0.372,141.58,0.102,0.794
iwantu2know *:),D4WN,spotify:track:5LkXV5OeK6uzdC99nDdrye,0.869,0.419,0.383,0.000909,94.008,0.264,0.172
**it gets better - live @ middle farm,Martin Luke Brown,spotify:track:0RZXRyvkHWhcuL9A0dUQMC,0.557,0.7,0.701,0.12,161.99,0.22,0.649
***BNB,Jeff Rosenstock,spotify:track:1VDtzhOCnI7WPWRK6EqNNt,0.534,0.876,0.606,0.01,129.014,0.0503,0.332
Finding Comfort At Night,Ocean Sounds,spotify:track:4Fb60IUKRoAsU2xA5XFic7,0.176,0.731,1e-05,0.757,85.061,0.0482,0.974
