Track Name,Artist,Track URI,danceability,energy,valence,acousticness,tempo,speechiness,liveness
*Equip Sunglasses*,Hot Mulligan,spotify:track:427OHPoIWqO3SsFw77EkDf,0.3481205744404674,1.2806790349611277,1.4469711274459285,-0.7734663757261249,0.1564906095077694,-0.42089615170983263,-0.9831401585044407
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,spotify:track:62bOmKYxYg7dhrC6gH9vFn,0.24799001611626778,1.0860772588516698,1.2752211851189061,-0.6633267428047173,2.1074975853014033,-0.6339116997329749,-0.7337459839388362
*Sobs Quietly*,Mom Jeans.,spotify:track:794wvyVcaQpECvWCBQpaTB,-0.7978180374920382,0.41683700442645977,-0.49952821892698945,-0.7543786126809082,0.05049268191348576,0.029116827226474493,-0.6865420392261034
"Merry Christmas, Happy Holidays",*NSYNC,spotify:track:4v9WbaxW8HdjqfUiWYWsII,0.4315627063773004,1.147780261032717,0.8744713196891878,-0.3975615888278306,-0.40023023021093185,-0.6564828836294668,2.408856635311344
***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,spotify:track:7tefUew2RUuSAqHyegMoY1,-0.49742636251943967,-0.04356231953981979,-0.6636448304839219,-0.4292349701921993,0.9180147203110541,2.1465760165161205,0.6662443429996281
＊〜アスタリスク〜,ORANGE RANGE,spotify:track:6MKOd8KDFzwpu8Vz6ccZU5,0.025477664284713143,1.1098091827674574,0.5729547542706379,-0.6815298355428603,0.45209098611120596,-0.7340713282736576,0.17060292351593465
It's Gonna Be Me,*NSYNC,spotify:track:2AW37v0bDyuOzGP3XnmFuA,0.3926230448067783,0.8345188653443212,1.4546044582160182,-0.62801274289272,1.8269497300702224,-0.30804023222737326,-0.9103674104056443
***HIDDEN TRACK***,Prince Daddy & the Hyena,spotify:track:1XsiMSfSYt5EfynqsNxO7H,1.482933568781395,-0.15272916955244226,-0.4041115843008662,-0.15364014613671537,-0.8255937220924353,0.8769469223384513,-0.738859744616049
Better Place (From TROLLS Band Together),*NSYNC,spotify:track:1bHnRc60O1N0l3PbHjaKyK,0.07554294344681294,-0.6700851109166116,0.11877157345029045,-0.6982766808619517,0.04259566946942024,-0.5887693319399911,-0.7010965888458628
Better Place (From TROLLS Band Together),*NSYNC,spotify:track:41iJ5BjMdpW5hAJeS2NGDP,0.07554294344681294,-0.6700851109166116,0.11877157345029045,-0.6982766808619517,0.04259566946942024,-0.5887693319399911,-0.7010965888458628
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:73q3FpQVXWk5eSUnyo83E4,0.6763262933920104,1.0481061805864096,0.8401213312237833,-0.7685042126457071,-0.21259276551884673,-0.7566425121701496,0.2964801094165551
Bye Bye Bye,*NSYNC,spotify:track:3iMmPeDuCBw8h6t1ZQFn4t,0.15898507538364592,1.1667658001653471,1.477504450526288,-0.47838332058518523,2.106978532840291,-0.6325010007394442,-0.7097506453765303
Bring It All to Me (feat. *NSYNC),Blaque,spotify:track:1cjBan0t4eBk2Y5j17hdyf,0.7208287637583208,-0.5609182609039891,0.7599713581378396,-0.7744420614968893,-0.9949902002940034,-0.8511593447367094,-0.8379880285127876
**it gets better,Martin Luke Brown,spotify:track:2FPAojOLtUXmtRSw9tEOF9,0.3814974272152006,0.8440116349106362,0.9966046120106259,-0.4787473824399481,1.7496479885402878,-0.017436239560040003,-0.6778879826954358
I Want You Back - Radio Edit,*NSYNC,spotify:track:221LRlPHPuevgE1tuUlof9,1.0323460563224973,1.147780261032717,1.4431544620608836,-0.5865096914497542,-0.13914684227146104,-0.6522507866488745,0.8196571633160094
This I Promise You,*NSYNC,spotify:track:46n2EGFnPC3tzWCN1Aqe26,-0.08577851163106356,-0.522947182638729,-0.23236164197384385,0.5125930480793156,1.860465688987757,-0.8455165487625864,-0.5531908954126336
Tearin' up My Heart - Radio Edit,*NSYNC,spotify:track:594M0rqYMOo8BhMGEdoi5C,0.6707634845962216,1.0338670262369372,1.0271379350909855,-0.7659921858478435,-0.21281521657360913,-0.7961420839890104,-0.14015637917622228
Better Place (Reunion),*NSYNC,spotify:track:5GJaRoYtOiXUpPVT0jyNNq,0.9934063947519752,-0.9121507348576452,0.2676215234670427,0.254109131197686,0.04300349640315115,-0.7227857363254118,-0.7125042088181065
*_*,LVL UP,spotify:track:1ghuCB4Jt2R0K6uzaBjDAX,-1.209465888380414,-0.48972248915662625,-0.8315781074258991,-0.7652276559528414,-0.38580798682716916,-0.7608746091507419,-0.7239118287903501
*YOU HAVE 1 NEW VOICEMAIL*,RIDERS,spotify:track:1x47fewuCE1fPbOfQe95Fs,-0.5697428768646946,-0.8599405022429124,-0.007178384256192578,-0.7397797323049176,0.49754515163432306,-0.6875182614871431,-0.5964611780659719
Pop,*NSYNC,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,0.7820196605119983,0.7775622479464309,1.5118544389916924,-0.6520408253070687,0.1539324223780017,0.8628399324031438,-0.5571245574720279
Calm Sea Sounds For Bedtime,Ocean Sounds,spotify:track:1ZaP7MorWCySXzfu8y9XHa,-2.1551433836645204,1.1240483371169299,-2.0108895447509343,0.9713109850805173,-0.12717156049008485,-0.27982625235675834,1.4215074584033514
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,spotify:track:31H6au3jhblhr6MMJiXnCq,0.8153965132867316,-0.7033098043987142,0.09587158114002081,-0.7361391137572889,-0.2191921468101312,-0.9513189732773921,-0.5925275160065775
